2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CANL: asof mismatch: CANL has no bar on 2026-09-07
2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CCO: asof mismatch: CCO has no bar on 2026-09-07
2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HAWK: asof mismatch: HAWK has no bar on 2026-09-07
2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CVSA: asof mismatch: CVSA has no bar on 2026-09-07
2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SONO: asof mismatch: SONO has no bar on 2026-09-07
2026-09-14 20:28:37.354 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | WHLT: asof mismatch: WHLT has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SVBT: asof mismatch: SVBT has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SFLM: asof mismatch: SFLM has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | OMH: asof mismatch: OMH has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BNC: asof mismatch: BNC has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | IZM: asof mismatch: IZM has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FTFT: asof mismatch: FTFT has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CQP: asof mismatch: CQP has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HEPS: asof mismatch: HEPS has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ANGI: asof mismatch: ANGI has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CIZN: asof mismatch: CIZN has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | TONR: asof mismatch: TONR has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LX: asof mismatch: LX has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | VPG: asof mismatch: VPG has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | XYZ: asof mismatch: XYZ has no bar on 2026-09-07
2026-09-14 20:28:37.355 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LNTH: asof mismatch: LNTH has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EMAT: asof mismatch: EMAT has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | OGE: asof mismatch: OGE has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MS: asof mismatch: MS has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ALNT: asof mismatch: ALNT has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | KNTK: asof mismatch: KNTK has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | VSME: asof mismatch: VSME has no bar on 2026-09-07
2026-09-14 20:28:37.356 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FBPA: asof mismatch: FBPA has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SIG: asof mismatch: SIG has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SJM: asof mismatch: SJM has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | OGN: asof mismatch: OGN has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SOPH: asof mismatch: SOPH has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SPHL: asof mismatch: SPHL has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RYZ: asof mismatch: RYZ has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LTC: asof mismatch: LTC has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | YELP: asof mismatch: YELP has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MSS: asof mismatch: MSS has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SMP: asof mismatch: SMP has no bar on 2026-09-07
2026-09-14 20:28:37.376 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | TVGN: asof mismatch: TVGN has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ZEPP: asof mismatch: ZEPP has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CGBD: asof mismatch: CGBD has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | GXO: asof mismatch: GXO has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SNAL: asof mismatch: SNAL has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EVER: asof mismatch: EVER has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | TDS: asof mismatch: TDS has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MGRC: asof mismatch: MGRC has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | NRP: asof mismatch: NRP has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | TENX: asof mismatch: TENX has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CMCT: asof mismatch: CMCT has no bar on 2026-09-07
2026-09-14 20:28:37.377 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CNM: asof mismatch: CNM has no bar on 2026-09-07
2026-09-14 20:28:38.477 | INFO     | core.scanner:_scan_all:781 - Scan complete
2026-09-14 20:28:38.482 | INFO     | core.scanner:_scan_all:608 - Scan | 500 symbols x 1 timeframes (['1d']) x 6 patterns | concurrency=15 batch=50 analyze_pool=8
2026-09-14 20:28:38.483 | INFO     | core.scanner:_pin_replay_asof:531 - Scan | replay asof pinned to 2026-09-08 via SNDK
2026-09-14 20:28:38.744 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK BLSH 2026-09-08 close=35.4000 unrl=-2.26% mtm=-$226.39 r=— status=TRAILING bars=2 value=$9,773.61
2026-09-14 20:28:38.745 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK LOGC 2026-09-08 close=12.6900 unrl=+0.08% mtm=+$7.89 r=— status=TRAILING bars=8 value=$10,007.89
2026-09-14 20:28:38.925 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK SOHOB 2026-09-08 close=3.3000 unrl=+17.86% mtm=+$1,785.71 r=— status=TRAILING bars=9 value=$11,785.71
2026-09-14 20:28:38.925 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK GTLB 2026-09-08 close=47.5850 unrl=+2.25% mtm=+$224.54 r=— status=TRAILING bars=5 value=$10,224.54
2026-09-14 20:28:39.089 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK JMIA 2026-09-08 close=7.2600 unrl=+2.69% mtm=+$268.74 r=— status=TRAILING bars=7 value=$10,268.74
2026-09-14 20:28:39.370 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK TARA 2026-09-08 close=3.8509 unrl=-2.26% mtm=-$226.14 r=— status=trailing_stop bars=3 value=$9,773.58
2026-09-14 20:28:39.371 | INFO     | core.backtester:_close_trade:762 - Backtest | EXIT TARA 1d reason=trailing_stop pnl=-2.46%
2026-09-14 20:28:39.371 | INFO     | core.paper_trader:_manage_position:746 - Paper | CLOSE TARA reason=trailing_stop pnl=-2.46%
2026-09-14 20:28:39.483 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK HUHU 2026-09-08 close=4.2500 unrl=+5.97% mtm=+$597.35 r=— status=TRAILING bars=9 value=$9,402.65
2026-09-14 20:28:39.835 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK SNAL 2026-09-08 close=2.5350 unrl=-0.20% mtm=-$19.76 r=— status=TRAILING bars=1 value=$10,019.76
2026-09-14 20:28:41.072 | INFO     | core.scanner:_process_signal:985 - Signal | PLMR 1d | BUY | pattern=pattern_003_double_bottom | confidence=1.00
2026-09-14 20:28:41.072 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK PLMR 2026-09-08 close=134.2200 unrl=+0.00% mtm=+$0.00 r=— status=OPEN bars=0 value=$9,932.28
2026-09-14 20:28:41.076 | INFO     | core.paper_trader:_open_position_locked:614 - Paper | OPEN BUY 74.0 PLMR @ 134.22 (pattern=pattern_003_double_bottom)
2026-09-14 20:28:43.114 | INFO     | core.scanner:_scan_all:781 - Scan complete
2026-09-14 20:28:43.120 | INFO     | core.scanner:_scan_all:608 - Scan | 500 symbols x 1 timeframes (['1d']) x 6 patterns | concurrency=15 batch=50 analyze_pool=8
2026-09-14 20:28:43.121 | INFO     | core.scanner:_pin_replay_asof:531 - Scan | replay asof pinned to 2026-09-09 via SNDK
2026-09-14 20:28:43.359 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK BLSH 2026-09-09 close=34.4090 unrl=-5.00% mtm=-$500.00 r=— status=trailing_stop bars=3 value=$9,500.00
2026-09-14 20:28:43.359 | INFO     | core.backtester:_close_trade:762 - Backtest | EXIT BLSH 1d reason=trailing_stop pnl=-5.20%
2026-09-14 20:28:43.359 | INFO     | core.paper_trader:_manage_position:746 - Paper | CLOSE BLSH reason=trailing_stop pnl=-5.20%
2026-09-14 20:28:43.360 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK LOGC 2026-09-09 close=13.7500 unrl=+8.44% mtm=+$843.85 r=— status=TRAILING bars=9 value=$10,843.85
2026-09-14 20:28:43.490 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK SOHOB 2026-09-09 close=3.3000 unrl=+17.86% mtm=+$1,785.71 r=— status=TRAILING bars=10 value=$11,785.71
